participant,half,segment_left_shoulder_right_shoulder,segment_left_hip_right_hip,segment_left_shoulder_left_elbow,segment_right_shoulder_right_elbow,segment_left_elbow_left_wrist,segment_right_elbow_right_wrist,segment_left_hip_left_knee,segment_right_hip_right_knee,segment_left_knee_left_ankle,segment_right_knee_right_ankle,segment_left_shoulder_left_hip,segment_right_shoulder_right_hip,mean_angle_L.Elbow,mean_angle_R.Elbow,mean_angle_L.Shoulder,mean_angle_R.Shoulder,mean_angle_L.Hip,mean_angle_R.Hip,mean_angle_L.Knee,mean_angle_R.Knee,mean_angle_L.Distal arm,mean_angle_R.Distal arm,mean_angle_L.Distal leg,mean_angle_R.Distal leg,mean_angle_Head/Neck
P32,first,106.646,64.0418,80.8307,78.3494,52.0325,52.068,81.3331,91.4334,114.78,115.584,106.543,103.718,53.4026,68.6137,22.4225,26.2871,171.994,135.36,164.782,131.03,96.0948,81.2158,6.20469,21.2888,165.448
P33,first,123.061,89.2783,98.1944,93.824,81.3453,66.307,89.1498,86.1618,183.213,183.852,142.201,139.146,123.13,149.378,8.23933,12.3173,154.281,137.798,172.664,138.355,32.0561,18.4465,2.39468,13.0094,171.631
P34,first,157.836,103.936,91.8674,93.9448,103.836,103.917,95.1912,104.579,201.242,190.715,167.764,149.582,78.2648,73.1127,65.4464,59.0189,168.43,125.246,157.949,109.264,44.4678,44.4554,7.38422,13.7563,158.829
P35,first,115.721,69.8323,81.9091,80.3356,60.3358,49.3885,80.7671,93.9659,159.569,152.049,133.525,126.858,111.739,102.299,18.4284,21.3717,150.939,105.947,151.499,47.4029,36.0823,36.4513,5.98071,25.0536,151.117
P36,first,135.34,91.5666,101.874,98.9587,87.3786,67.7107,95.1676,98.7556,174.19,181.464,153.407,150.103,100.851,135.77,21.1094,24.5171,119.565,135.371,144.193,135.908,42.3232,25.0095,9.67771,13.9469,170.202
P37,first,126.179,79.6991,105.016,102.509,82.3776,73.6059,80.5144,81.0343,165.609,165.176,150.401,148.497,150.484,153.648,8.04332,12.6726,174.59,162.599,163.814,173.483,16.7637,15.995,5.5657,2.2322,159.289
P38,first,114.323,79.4703,80.0355,83.9759,64.6163,73.5216,58.7489,84.8265,151.792,150.045,135.225,131.745,99.5294,98.4863,12.7005,17.668,101.112,166.384,129.982,172.107,46.1657,46.4048,13.0928,3.28598,164.945
P39,first,136.967,92.4909,105.738,101.361,88.3238,79.3945,100.335,96.9634,186.955,189.147,158.671,151.301,118.953,134.105,7.46396,14.3458,106.078,138.661,119.243,143.241,36.3039,28.2004,8.16985,12.1036,163.203
P40,first,113.217,72.679,83.5208,85.2266,62.0829,48.8603,25.5717,65.7862,148.465,136.352,143.314,144.388,125.109,131.088,14.9828,21.2501,81.7913,151.685,121.618,156.285,32.7898,33.1546,6.93291,7.83622,174.718
P41,first,131.43,83.43,97.3975,95.508,75.4851,67.9854,79.2869,85.1931,176.257,162.179,159.945,163.817,115.467,143.059,19.2318,16.845,171.906,123.274,166.467,94.04,31.8248,22.5375,4.2633,14.4455,161.507
P42,first,115.702,77.4498,95.885,89.6901,78.0267,58.8585,77.8165,76.3765,161.582,154.312,139.491,132.43,124.097,133.611,10.0335,13.3042,164.842,137.75,163.361,121.171,30.8415,28.3654,5.4226,13.8943,165.331
P43,first,136.631,85.8671,105.961,99.0657,71.2107,60.3481,77.3706,78.8123,171.833,177.724,145.35,141.155,121.617,133.244,16.3011,14.547,167.2,149.399,166.939,142.494,34.4778,29.7808,4.09369,11.422,156.031
P44,first,111.934,74.7877,83.5405,77.7802,60.562,50.2518,83.6039,36.1661,143.685,143.661,128.785,122.044,99.7703,108.363,18.7541,25.6802,155.772,84.2564,149.859,38.0884,48.1466,44.9705,10.9911,15.9834,173.28
P45,first,140.625,88.5589,101.081,97.8083,68.7615,68.9562,75.4825,74.1782,158.572,161.09,151.992,150.867,136.611,141.988,17.9218,18.7229,175.214,159.683,175.319,154.879,26.3861,22.5391,1.49996,8.12607,168.705
P46,first,137.946,91.5705,97.388,100.656,68.0097,76.2759,79.9885,97.1149,177.597,171.93,145.411,132.825,88.4121,110.056,44.118,17.3099,166.308,120.776,164.982,82.5388,58.5399,39.4413,4.82523,18.9091,166.708
P47,first,136.339,87.8599,111.023,107.295,85.6284,70.2915,70.8285,96.1251,168.531,161.809,142.588,141.949,116.772,130.856,12.6767,21.8901,133.795,132.016,137.053,130.976,35.944,29.395,8.06063,19.2571,160.211
P48,first,163.41,115.79,118.387,108.662,84.0347,82.179,99.6897,104.216,167.947,177.028,154.46,158.327,98.3537,121.148,18.8935,21.1669,171.357,151.785,175.346,147.761,58.4045,37.3522,1.77813,12.623,168.477
P49,first,125.93,76.6875,81.619,79.1896,65.4831,63.8089,25.3424,80.9778,148.262,146.746,145.147,135.218,121.435,139.156,19.7975,23.7857,142.246,117.838,101.437,100.244,33.1915,23.986,5.0513,16.3186,168.905
P50,first,143.481,94.265,76.3297,89.7318,60.5733,74.2734,57.9467,70.611,196.481,195.646,207.762,184.949,144.495,142.897,14.8543,16.6796,43.2547,148.371,49.5533,152.618,22.177,22.4137,12.3958,7.64014,163.024
P51,first,139.461,83.25,104.469,103.729,45.6146,45.3004,85.7986,101.83,111.775,91.9847,157.326,160.315,125.919,121.645,11.6957,12.9081,177.998,161.103,152.178,170.323,38.2253,41.5849,12.1422,5.13107,157.086
P52,first,158.079,96.7321,111.04,104.071,81.0414,74.8505,91.4481,110.462,171.686,178.549,164.478,163.702,95.863,109.928,22.3497,24.1345,135.592,126.562,141.328,121.42,48.0707,42.8355,13.1619,21.8379,168.629
P53,first,105.032,65.9922,80.716,77.5157,72.5254,66.0207,71.7473,73.5551,96.9132,101.21,120.022,116.806,127.258,134.625,16.3859,21.6458,169.239,148.674,159.039,129.831,26.5007,24.5536,9.16474,20.7617,149.551
P54,first,114.657,61.634,89.4159,86.5013,59.5004,33.7368,70.08,50.8499,135.544,131.739,135.682,137.404,139.766,124.442,15.2241,25.5184,171.753,83.899,167.987,33.7712,23.2083,36.2016,4.31938,10.613,167.635
P55,first,141.518,83.2516,100.065,99.2002,60.775,46.9608,77.8656,69.2642,194.956,189.961,171,166.72,126.617,122.667,10.0139,15.1539,100.681,89.9359,90.2197,79.7508,33.1627,37.1364,9.01626,7.46547,148.05
P56,first,115.954,72.8852,69.1728,64.1415,91.2187,87.439,89.2906,94.4293,158.735,160.156,126.182,113.927,108.438,49.2543,5.00726,18.1857,176.448,157.084,167.979,151.81,30.2909,41.3062,4.33899,10.6491,171.141
P57,first,122.286,88.3259,93.5559,89.9667,72.5965,59.0096,70.1381,74.2076,166.594,167.81,134.939,131.473,118.115,111.447,13.2252,18.9757,149.555,160.392,162.872,165.054,37.5581,51.3174,4.35183,4.56644,175.361
P58,first,115.592,79.7717,85.009,86.9516,74.5073,62.1152,91.5107,110.666,162.889,134.057,132.849,136.761,91.4771,90.7541,15.3347,16.0457,162.527,152.839,165.083,140.292,51.5309,48.8272,7.16915,19.6008,168.725
P59,first,143.638,86.1982,97.0851,93.2239,71.3825,63.4224,83.9083,112.889,140.987,160.678,169.001,156.456,122.643,154.872,19.9977,11.9752,149.422,125.398,120.751,92.3551,39.1752,16.7407,21.5314,34.3762,161.802
P60,first,108.948,77.2944,85.7016,84.2946,69.8255,57.3167,67.5059,66.9026,136.877,123.791,133.104,131.247,130.365,137.604,13.1228,13.0465,173.523,167.693,169.783,168.878,28.5238,25.7856,3.50958,3.815,170.977
P61,first,122.764,66.2325,80.4207,79.8551,75.191,71.3047,83.8412,108.478,179.376,173.736,141.417,121.673,59.2141,70.1444,94.3158,78.9636,169.848,82.339,154.214,16.6745,65.0982,62.2615,8.18999,23.6239,159.09
P62,first,112.591,82.1623,77.7532,72.775,57.0455,51.1616,71.7954,71.5817,149.369,121.459,117.164,115.954,117.777,143.078,12.3859,8.6891,174.102,154.38,172.066,153.833,36.8207,22.1409,2.90177,9.49583,166.203
P63,first,121.102,79.2889,107.345,106.59,81.3312,66.5424,89.2632,87.4628,169.282,167.834,162.229,154.97,119.879,122.359,10.8646,13.1674,160.51,149.536,162.72,140.037,40.6159,43.146,6.06248,13.4694,159.401
P64,first,130.442,74.4786,79.7664,87.8576,78.7886,69.3546,47.7114,88.6019,147.203,147.53,136.025,134.972,70.9996,73.3581,19.1179,19.255,98.0988,143.176,40.2577,152.898,53.698,70.4196,13.9105,9.5866,167.244
P65,first,109.955,76.1366,83.7203,84.2455,64.4315,62.1203,69.0066,90.765,147.201,144.726,137.618,137.533,146.769,126.169,3.60136,18.7811,118.866,137.22,129.34,131.182,19.0606,26.4613,11.8072,15.3838,169.074
P66,first,118.431,73.0232,70.2233,76.612,84.2727,75.9238,81.1774,96.8676,94.0356,81.385,126.982,115.911,108.382,20.4051,4.85777,13.4023,172.405,149.046,156.722,142.391,33.8568,88.1998,10.7003,20.5066,155.265
P67,first,140.42,90.661,109.454,106.883,84.1493,66.9602,52.2795,78.0857,187.991,192.227,205.019,183.934,118.446,129.692,13.8921,18.6311,62.1678,168.301,43.1693,162.82,34.9527,32.6688,7.13301,5.12305,165.722
